Name,Calories per serve,Category,When to eat,Plan,veg,clusterID,Main Meal,Total Fat,Cholesterol,sodium,Potassium,Total Carbohydrates,sugars,Protein,iron
MAYO,94,Other,Launch,G,1,2345,0,10,5.8,88,2.8,0.1,0.1,0.1,0.1
SALSA,36,Other,Launch,LG,1,123450,0,0.2,0,430,270,7,1.4,1.5,2.2
BARBECUESAUCE,172,Other,Launch,G,1,2345,0,0.6,0,1027,232,41,33,0.8,0.6
OTHERRICHSAUCES,50,Other,Launch,G,1,2345,0,0.6,0,1027,232,41,33,0.8,0.6
JAM,278,Other,Breakfast/Dinner,G,1,2345,0,0.1,0,32,77,69,49,0.4,0.5
PICKLES,10,Vegeitables,Launch,LG,1,123450,0,0.2,0,1208,23,2.3,1.1,0.3,0.4
SALT,0,Other,Launch,G,1,2345,0,0,0,38758,8,0,0,0,0.3
COCOA,227,Other,Launch,G,1,2345,0,14,0,21,1524,58,1.8,20,14
MILK,42,Dairy,Breakfast/Dinner,LG,1,123450,0,1,5,44,150,5,5,3.4,0
MEALREPLACEMENTDRINKS,58,Other,Dinner,G,1,2345,0,9,5,170,670,6,0.6,20,2.7
TOMATOJUICE,17,Other,Launch/Dinner,LG,1,123450,0,0.1,0,10,229,4.2,3.6,0.8,0.3
ORANGEJUICE,45,Other,Breakfast/Launch/Dinner,LG,1,123450,0,0.2,0,1,200,10,8,0.7,0.2
OTHERFRUITJUICES,54,Other,Launch,LG,1,123450,0,0,0,2,42,13,9,0.2,0.1
HI-C,120,Other,Launch,G,1,2345,0,0,0,0,0,32,32,0,0
SOMEJUICE,104,Other,Launch,G,1,2345,0,0.2,0,4,95,56,22,2.2,1
ICEDTEA,35,Other,Launch,LG,1,123450,0,0.1,0,2,15,9,8,0,0
SPORTSDRINKS,26,Other,Launch,LG,1,123450,0,0,0,35,10,6,0,0,0.1
ENERGYDRINKS,43,Other,Launch,LG,1,123450,0,0,0,39,3,10,10,0.5,0
LEMONADE,40,Other,Launch,LG,1,123450,0,0,0,4,15,10,10,0.1,0.2
SODA,42,Other,Launch/Dinner,G,1,2345,0,0,0,4,3,11,11,0,0
BEER,43,Other,Launch,LG,1,123450,0,0,0,4,27,3.6,0,0.5,0
WINE,83,Other,Launch/Dinner,G,1,2345,0,0,0,5,99,2.7,0.8,0.1,0.4
COCKTAILS,143,Other,Launch,G,1,2345,0,0.1,0,1.5,37,8.7,8.3,0.2,0.3
WATER,0,Other,Breakfast/Launch/Dinner,LG,1,123450,0,0,0,5,0,0,0,0,0
COFFEEDRINKS,1,Other,Breakfast,LG,1,123450,0,0,0,2,49,0,0,0.1,0
COFFEE,1,Other,Breakfast,LG,1,123450,0,0,0,2,49,0,0,0.1,0
HOTTEA,1,Other,Launch,LG,1,123450,0,0,0,0,21,0.3,0,0,0
DECAFCOFFEE,4,Other,Launch,LG,1,123450,0,0,0,4,36,0.4,0,0.1,0
CREAMINCOFFEE,473,Other,Launch,G,1,2345,0,39,157,236,0,15,15,6,0
SUGARINCOFFEE,315,Other,Breakfast/Launch,LG,1,123450,0,0,0,31,772,78,78,1,0
CREAMINTEA,399,Other,Launch/Dinner,G,1,2345,0,22,0,5,217,45,45,5,0
SUGARINTEA,315,Other,Breakfast/Launch,LG,1,123450,0,0.3,0,5,217,97.6,97.6,0.6,0
SODACAFFEINE,42,Other,Launch,G,1,2345,0,0,0,10,1,10.4,10.4,0.1,0
CHILIPEPPER,39,Vegeitables,Breakfast,LG,1,123450,0,0.4,0,9,322,9,5,1.9,1
CORNFLAKES,357,Other,Breakfast,G,1,2345,0,0.4,0,729,168,84,10,8,29
GRAPENUTS,369,Fruit,Breakfast/Dinner,G,1,2345,0,1.8,0,465,400,80,9,11,28
OATSQUARES,379,Other,Breakfast,LG,1,123450,0,6.5,0,6,362,68,1,13,29.3
OTHERWHOLEGRAINCEREAL,371,Other,Breakfast,LG,1,123450,0,3,0,371,429,81.5,5.7,11.4,13
COOKINGFATCORN,210,Other,Launch,LG,1,123450,0,100,0,429,407,41,5.17,5.42,1
COOKINGFATPEANUT,884,Other,Launch,G,1,2345,0,100,0,500,600,45,10,10,1
COOKINGFATOTHER,124,Other,Launch,LG,1,123450,0,100,0,420,230,40,6,6,1
FISHOIL,902,Other,Launch,G,1,12345,0,100,766,0,0,0,0,0,0
